name,description,price,offerPrice,stock,category,imageUrl
Wireless Bluetooth Headphones,"Premium noise-cancelling headphones with 30-hour battery life and superior sound quality",7499,5799,50,Electronics,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800
Smart Watch Series 5,"Fitness tracker with heart rate monitor, GPS, and waterproof design",16599,12399,35,Electronics,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=800
Cotton T-Shirt Men,"100% organic cotton, comfortable fit, available in multiple colors",2099,1649,100,Fashion,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=800
Women's Running Shoes,"Lightweight athletic shoes with cushioned sole and breathable mesh",6649,4949,45,Fashion,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=800
Stainless Steel Water Bottle,"Insulated 32oz bottle keeps drinks cold for 24 hours, hot for 12 hours",2499,2049,80,Sports & Outdoors,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=800
Yoga Mat Premium,"Non-slip exercise mat with extra cushioning, includes carrying strap",3299,2449,60,Sports & Outdoors,https://images.unsplash.com/photo-1601925260368-ae2f83cf8b7f?w=800
Organic Green Tea 100 Bags,"Premium loose leaf green tea, rich in antioxidants",1649,1249,120,Food & Grocery,https://images.unsplash.com/photo-1564890369478-c89ca6d9cde9?w=800
Whole Wheat Bread,"Freshly baked daily, no preservatives, high in fiber",415,,200,Food & Grocery,https://images.unsplash.com/photo-1509440159596-0249088772ff?w=800
LED Desk Lamp,"Adjustable brightness, USB charging port, eye-care technology",3799,2949,40,Home & Living,https://images.unsplash.com/photo-1507473885765-e6ed057f782c?w=800
Ceramic Coffee Mug Set,"Set of 4 handcrafted mugs, microwave and dishwasher safe",2899,2299,55,Home & Living,https://images.unsplash.com/photo-1514228742587-6b1558fcca3d?w=800
Face Moisturizer SPF 30,"Hydrating daily moisturizer with sun protection, suitable for all skin types",2399,1899,75,Health & Beauty,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=800
Natural Shampoo & Conditioner Set,"Sulfate-free hair care set with argan oil and keratin",3549,2699,65,Health & Beauty,https://images.unsplash.com/photo-1535585209827-a15fcdbc4c2d?w=800
Wireless Gaming Mouse,"RGB lighting, 6 programmable buttons, 16000 DPI sensor",4999,3699,30,Electronics,https://images.unsplash.com/photo-1527814050087-3793815479db?w=800
Mechanical Keyboard RGB,"Cherry MX switches, customizable backlighting, aluminum frame",10799,8249,25,Electronics,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=800
Backpack Laptop 15.6 inch,"Water-resistant travel backpack with USB charging port and multiple compartments",4149,3299,70,Fashion,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=800
Leather Wallet Men,"Genuine leather bifold wallet with RFID blocking technology",3299,2449,90,Fashion,https://images.unsplash.com/photo-1627123424574-724758594e93?w=800
Resistance Bands Set,"5-piece exercise band set with different resistance levels and carry bag",2099,1649,85,Sports & Outdoors,https://images.unsplash.com/photo-1598289431512-b97b0917affc?w=800
Camping Tent 4 Person,"Waterproof family tent with easy setup, includes rainfly and stakes",13299,10749,20,Sports & Outdoors,https://images.unsplash.com/photo-1478131143081-80f7f84ca84d?w=800
Organic Honey 500g,"Raw unfiltered honey from local beekeepers, 100% pure",1329,1079,95,Food & Grocery,https://images.unsplash.com/photo-1587049352846-4a222e784e38?w=800
Almond Butter Crunchy,"All-natural almond butter, no added sugar or oil",1079,829,110,Food & Grocery,https://images.unsplash.com/photo-1520072959219-c0654b55a2e2?w=800
Throw Pillow Covers Set,"Set of 2 decorative cushion covers, 18x18 inches, machine washable",1899,1499,100,Home & Living,https://images.unsplash.com/photo-1584100936595-c0654b55a2e2?w=800
Wall Clock Modern,"Silent non-ticking wall clock, 12-inch diameter, battery operated",2499,2049,50,Home & Living,https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=800
Vitamin C Serum,"Anti-aging facial serum with hyaluronic acid and vitamin E",2899,2249,80,Health & Beauty,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=800
Electric Toothbrush,"Rechargeable sonic toothbrush with 3 brushing modes and timer",6649,4949,40,Health & Beauty,https://images.unsplash.com/photo-1607613009820-a29f7bb81c04?w=800
USB-C Hub 7-in-1,"Multi-port adapter with HDMI, USB 3.0, SD card reader, and PD charging",3299,2449,60,Electronics,https://images.unsplash.com/photo-1625948515291-69613efd103f?w=800
Portable Bluetooth Speaker,"Waterproof wireless speaker with 12-hour battery life and deep bass",4149,3299,55,Electronics,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=800
Denim Jeans Women,"Slim fit stretch jeans, mid-rise, available in multiple sizes",4999,3699,75,Fashion,https://images.unsplash.com/photo-1542272604-787c3835535d?w=800
Sunglasses Polarized,"UV400 protection, lightweight frame, includes case and cleaning cloth",2899,2049,65,Fashion,https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=800
Dumbbell Set Adjustable,"Pair of adjustable dumbbells, 5-52.5 lbs each, space-saving design",24899,20699,15,Sports & Outdoors,https://images.unsplash.com/photo-1517836357463-d25dfeac3438?w=800
Bike Helmet Adult,"Lightweight cycling helmet with adjustable fit and ventilation",3749,2849,45,Sports & Outdoors,https://images.unsplash.com/photo-1557438159-51eec7a6c9e8?w=800
